Player,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40
JiSu Park,LVA,25,0,6.5,0.3,1.5,0.216,0,0,0,0.3,1.4,0.222,0.216,0.2,0.4,0.444,0.4,1.1,0.4,0.2,0.2,0.3,0.9,0.8,14.3,0.497,0.13,0.209,3,7.9,22.4,2.4,0.7,16.9,20.3,0.8,1.4,2.3,0.098
Shey Peddy,WAS,15,0,4.7,0.5,0.9,0.615,0.3,0.5,0.5,0.3,0.3,0.8,0.769,0.4,0.4,1,0.1,0.6,0.5,0.3,0,0.2,0.5,1.7,9.5,0.499,0.757,0.045,1.2,6.8,16,1.7,2.6,19.3,15.8,-0.1,0.6,0.5,0.053
Haley Peters,ATL,4,0,6.5,0,1.8,0,0,0,,0,1.8,0,0,0.5,0.5,1,0.3,0.5,0.3,0.3,0.3,1,0.8,0.5,8.6,0.477,0.372,0.209,2.7,5.5,9.9,1.5,2,11.9,12.6,0.5,0.9,1.5,0.069
Theresa Plaisance,CON,9,0,7.1,0.9,2.6,0.348,0.2,0.7,0.333,0.7,1.9,0.353,0.391,0.4,0.4,1,0.3,1.8,0,0.3,0.2,0.1,1.3,2.4,15.5,0.546,0,0.319,10.9,14.6,7,2.2,1.7,12.4,14,1.8,1.3,3.1,0.143
Theresa Plaisance,DAL,22,12,17.2,2.1,5.6,0.374,1,3,0.343,1,2.5,0.411,0.467,0.8,1,0.773,1,4.4,1.5,0.3,0.8,1.4,2.4,6,10.3,0.513,0.763,0.526,3.1,6.2,6.5,1.9,1,9.7,14.7,0.2,0.1,0.3,0.089
Theresa Plaisance,TOT,31,12,14.3,1.7,4.7,0.37,0.8,2.4,0.342,0.9,2.4,0.397,0.455,0.7,0.8,0.808,0.8,3.6,1.1,0.3,0.6,1,2.1,5,11.2,0.446,0.241,0.276,10,18.6,28.5,0.9,0.8,31.6,19,-0.1,0.2,0.1,0.024
Kelsey Plum,LVA,34,30,25.5,3.1,8.6,0.365,1.3,3.7,0.36,1.8,4.9,0.369,0.442,1,1.1,0.872,0.4,2.9,3,0.8,0.1,1.6,2.2,8.6,15,0.488,0.204,0.246,2.7,6.5,29.3,2.2,0.3,18.2,25.5,0.7,1.4,2.1,0.078
Aerial Powers,WAS,30,7,19.8,3.6,8.3,0.434,1.4,3.9,0.362,2.2,4.4,0.496,0.518,2.8,3.3,0.867,1.1,3.2,1.5,0.8,0.2,1.5,1.6,11.4,1.1,0.227,0.439,0.049,9.8,15,4.8,2,2.9,16,17.7,-0.7,0.2,-0.5,-0.138
Epiphanny Prince,LVA,3,0,9.3,1.7,3.3,0.5,1,2.3,0.429,0.7,1,0.667,0.65,0,0,,0.3,0.7,1,0.3,0.3,0,1.7,4.3,11.8,0.389,0.17,0.094,11.7,13.2,6.7,1.9,6.1,14,20.6,-0.2,0.2,-0.1,-0.015
LaToya Sanders,WAS,34,34,23.6,2.6,5.1,0.506,0,0,,2.6,5.1,0.506,0.506,1,1.1,0.892,1.3,5.5,1.9,0.9,1.4,0.9,2.1,6.1,12.9,0.573,0.78,0.106,1.2,4.6,7.8,2.2,0.8,9.5,15.9,1.7,0.9,2.6,0.129
Allie Quigley,CHI,34,34,28.6,5,10.2,0.493,2.4,5.3,0.442,2.7,4.9,0.548,0.608,1.4,1.6,0.87,0.4,3,2.5,0.8,0.2,1.4,1.8,13.8,9.5,0.476,0,0.178,8.3,13.4,6.3,1.3,1,17.8,16,-0.1,0.4,0.4,0.055
