Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
27,RJ Barrett,SG,19,NYK,36,36,31.5,5.2,13.2,0.393,1.1,3.5,0.31,4.1,9.7,0.423,0.434,2.4,4.2,0.572,1.1,4.1,5.2,2.5,1,0.4,2.2,2.3,13.9,1135,10,0.461,0.265,0.319,3.4,14.2,8.6,12.6,1.6,1.3,12.8,23.2,-1.3,0.6,-0.7,-0.03,-3.5,-0.7,-4.2,-0.6
28,Will Barton,SF,29,DEN,34,34,33.1,5.7,12.6,0.456,1.6,4.3,0.361,4.2,8.3,0.505,0.518,1.8,2.4,0.753,1.6,5.3,7,3.7,1.1,0.4,1.4,2.1,14.8,1125,16.5,0.544,0.343,0.189,5.4,17.9,11.6,16.3,1.6,1.2,9.2,19.6,1.7,1.4,3.1,0.134,1.2,0.9,2.1,1.2
29,Keita Bates-Diop,SF,24,MIN,24,0,18.1,2.4,5.6,0.425,1,2.7,0.369,1.4,2.9,0.478,0.515,1.2,1.6,0.718,0.5,2.3,2.8,0.5,0.5,0.4,0.4,1,6.9,434,12,0.549,0.485,0.291,2.6,13.6,8,4.1,1.3,1.9,5.6,15.2,0.4,0.4,0.8,0.086,-2.1,-0.9,-2.9,-0.1
30,Nicolas Batum,SF,31,CHO,16,2,22.3,1.3,3.4,0.37,0.7,2.3,0.306,0.6,1.1,0.5,0.472,0.4,0.4,1,1.1,2.9,4.1,3,0.8,0.5,1.2,2,3.6,357,9.6,0.503,0.667,0.111,5.3,15,9.9,18.6,1.8,2,25.1,9.2,0.2,0.2,0.4,0.054,-2.2,1.1,-1,0.1
31,Aron Baynes,C,33,PHO,28,22,24.1,4.9,9.7,0.502,1.4,4.1,0.348,3.4,5.6,0.615,0.576,1.4,1.9,0.717,1.6,4.4,6,2,0.2,0.6,1.2,3.8,12.5,675,15.9,0.595,0.424,0.196,7.2,20.6,13.7,12.9,0.4,2.2,10.4,20.5,1.2,0.5,1.6,0.116,1.2,-0.6,0.6,0.4
32,Kent Bazemore,SF,30,POR,38,16,25.2,2.7,7.6,0.355,1.3,3.8,0.349,1.3,3.7,0.362,0.444,1.2,1.5,0.804,0.3,3.7,3.9,1.3,0.9,0.7,1.4,2.8,7.9,959,7.8,0.481,0.509,0.195,1.2,14.6,8,7.1,1.8,2.4,14.3,16.1,-0.8,0.8,0.1,0.003,-3.1,0.6,-2.5,-0.1
33,Darius Bazley,PF,19,OKC,37,6,17.1,1.5,4.3,0.356,0.7,2.2,0.325,0.8,2.1,0.39,0.441,0.5,0.7,0.654,0.4,3.5,3.8,0.5,0.4,0.6,0.9,1,4.3,631,7.1,0.461,0.519,0.163,2.3,21.7,12.3,3.9,1.1,3.1,15.7,14.2,-0.8,0.9,0.1,0.005,-5.5,1,-4.5,-0.4
34,Bradley Beal,SG,26,WAS,31,31,36.5,9.5,21.7,0.435,2.5,8.1,0.315,6.9,13.6,0.507,0.494,6.4,7.6,0.831,1.1,3.7,4.8,6.6,1.1,0.3,3.3,2.5,27.8,1130,21,0.554,0.373,0.352,3.2,11.4,7.1,29.1,1.4,0.8,11.7,32.2,2.2,0,2.2,0.093,4.2,-2.9,1.4,1
35,Malik Beasley,SG,23,DEN,27,0,16,2.6,6.5,0.406,1.4,3.4,0.398,1.3,3,0.415,0.511,0.3,0.4,0.818,0.2,1.2,1.4,0.9,0.5,0.1,0.8,1.1,7,433,9.9,0.523,0.531,0.063,1.5,8.5,4.9,8.4,1.5,0.8,10.9,20.1,-0.1,0.4,0.3,0.035,-1.8,-2.1,-4,-0.2
36,Marco Belinelli,SG,33,SAS,31,0,16.1,2,5.6,0.356,1,2.9,0.344,1,2.7,0.369,0.445,0.7,1,0.733,0,1.6,1.6,1.3,0.2,0,0.4,0.8,5.7,498,7.9,0.473,0.517,0.172,0.2,10.5,5.4,10.4,0.7,0,6.5,17.2,-0.1,0.1,0,0,-2.3,-3.3,-5.6,-0.4
