Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
139,Drew Eubanks,PF,22,SAS,5,0,6.8,1.6,2.6,0.615,0,0,,1.6,2.6,0.615,0.615,0.2,0.2,1,1.2,2,3.2,0.4,0,0.2,0.8,0.8,3.4,34,19.8,0.632,0,0.077,18.8,30.8,24.8,9.1,0,2.5,22.9,22,0,0,0.1,0.103,-1.8,-1.5,-3.3,0
140,Jacob Evans,SG,22,GSW,17,0,15,1.5,4.8,0.309,0.5,1.2,0.381,1,3.5,0.283,0.358,1.1,1.2,0.857,0.2,1.3,1.5,0.9,0.2,0.4,1.1,1.5,4.5,255,3.4,0.421,0.259,0.259,1.6,9.5,5.5,9.1,0.8,2.1,16.6,18.1,-0.5,0.1,-0.5,-0.085,-7.7,-1.9,-9.6,-0.5
141,Dante Exum,SG,24,TOT,17,0,10.8,1.9,3.4,0.552,0.5,1.1,0.5,1.4,2.4,0.575,0.629,0.8,1,0.765,0.2,1.2,1.4,0.9,0.4,0.1,1.1,0.8,5.1,183,14.1,0.657,0.31,0.293,1.8,12.2,7.1,12.9,1.6,0.9,21.6,19.7,0.1,0.1,0.3,0.069,-1.5,-1.1,-2.6,0
141,Dante Exum,SG,24,UTA,11,0,7.5,0.9,2.1,0.435,0.2,0.5,0.333,0.7,1.5,0.471,0.478,0.2,0.2,1,0.3,0.8,1.1,0.6,0.1,0.2,0.9,0.7,2.2,83,5,0.503,0.261,0.087,4.1,11.1,7.7,12.2,0.6,2,29.5,17.9,-0.2,0.1,-0.1,-0.044,-6.4,0.2,-6.1,-0.1
141,Dante Exum,G,24,CLE,6,0,16.7,3.7,5.8,0.629,1.2,2,0.583,2.5,3.8,0.652,0.729,1.8,2.5,0.733,0,2,2,1.3,0.8,0,1.3,1,10.3,100,21.7,0.745,0.343,0.429,0,13.2,6.6,13.5,2.4,0,16.1,21.2,0.3,0,0.3,0.163,2.6,-2.2,0.4,0.1
142,Tacko Fall,C,24,BOS,3,0,3.7,2,2.7,0.75,0,0,,2,2.7,0.75,0.75,0.3,0.7,0.5,0,2.3,2.3,0,0,0.7,1,1,4.3,11,35.2,0.732,0,0.25,0,67.4,33.9,0,0,16.8,25.3,46,0,0,0,0.089,-14.1,-2.3,-16.4,0
143,Derrick Favors,C,28,NOP,21,19,24.1,4.1,7.1,0.573,0,0.2,0.25,4,7,0.582,0.577,0.7,1.2,0.56,3.5,6.8,10.3,2.2,0.5,1.1,1.3,2.3,8.9,506,19.3,0.581,0.027,0.167,15,30.5,22.5,13.3,0.9,4,14.4,15.4,1,0.5,1.6,0.151,-0.2,2.5,2.3,0.5
144,Terrance Ferguson,SF,21,OKC,31,31,26.8,1.9,4.8,0.389,1.2,3.7,0.322,0.7,1.1,0.618,0.513,0.2,0.3,0.778,0.6,1.2,1.8,0.9,0.5,0.3,0.7,3.4,5.2,832,4.4,0.523,0.772,0.06,2.6,4.6,3.6,4.5,1,0.8,12.6,9.3,0.1,0.5,0.6,0.032,-1.3,-0.1,-1.4,0.1
145,Bruno Fernando,C,21,ATL,36,8,11.9,1.5,3.2,0.478,0.1,0.8,0.148,1.4,2.4,0.58,0.496,0.6,0.9,0.618,1.1,2,3.1,1,0.3,0.3,0.8,1.8,3.8,429,10.9,0.519,0.235,0.296,9.6,18.5,14,12.2,1,2.3,18.2,15.5,0.1,0.2,0.3,0.037,-3,-0.3,-3.3,-0.1
146,Yogi Ferrell,PG,26,SAC,28,0,13.2,1.7,4.2,0.407,0.4,1.5,0.262,1.3,2.7,0.487,0.453,1,1.1,0.875,0.1,1.1,1.3,1.6,0.4,0.1,0.7,0.8,4.8,369,11.2,0.511,0.356,0.271,1.2,10.1,5.5,18.3,1.3,0.8,12.6,17.9,0.2,0.2,0.4,0.054,-2.7,-2,-4.7,-0.2
147,Dorian Finney-Smith,PF,26,DAL,36,33,29.1,3.3,7,0.468,1.5,3.9,0.39,1.8,3.1,0.568,0.577,1,1.4,0.712,1.9,3.4,5.3,1.4,0.7,0.5,0.9,2.1,9.1,1047,12.4,0.597,0.56,0.206,7.1,11.7,9.5,6.3,1.1,1.5,10.7,12.5,1.7,0.8,2.5,0.116,1.3,0.4,1.6,1
148,Bryn Forbes,SG,26,SAS,35,34,25.9,3.9,9.8,0.401,2.2,6,0.365,1.7,3.7,0.458,0.513,1.2,1.3,0.872,0.3,2.2,2.4,1.8,0.5,0,0.9,1.8,11.2,907,10.6,0.54,0.617,0.137,1.1,8.8,4.9,9.4,0.9,0,7.9,18.6,0.6,0.2,0.8,0.041,0.5,-3.2,-2.7,-0.2
149,Evan Fournier,SG,27,ORL,37,37,31.2,6.7,14.2,0.471,2.5,6.2,0.407,4.2,8,0.522,0.561,2.8,3.5,0.808,0.1,2.5,2.6,3.2,1,0.2,1.9,2.5,18.8,1153,17.1,0.596,0.439,0.247,0.4,8.8,4.5,17.8,1.6,0.6,10.7,24.6,1.8,1.1,2.9,0.122,2.5,-1.7,0.8,0.8
150,De'Aaron Fox,PG,22,SAC,20,18,30.2,6.3,13.7,0.46,1,3.2,0.313,5.3,10.5,0.505,0.496,4.7,6.5,0.721,0.9,3,3.9,6.8,1.3,0.5,3.4,2.9,18.3,603,19.6,0.552,0.234,0.471,3.1,11.6,7.3,37.3,2.1,1.4,16.8,28.8,0.9,0.6,1.4,0.112,1.7,-0.5,1.2,0.5
151,Melvin Frazier,SG,23,ORL,10,0,3.7,0.4,1.4,0.286,0.3,0.6,0.5,0.1,0.8,0.125,0.393,0.1,0.2,0.5,0.1,0.2,0.3,0.1,0.2,0.1,0.1,0.7,1.2,37,4.5,0.403,0.429,0.143,2.8,5.8,4.3,4,2.6,2.5,6.3,18.7,-0.1,0.1,0,-0.018,-5.7,-0.6,-6.2,0
152,Tim Frazier,PG,29,DET,23,11,13,1.4,3.7,0.393,0.4,1.1,0.385,1,2.5,0.397,0.452,0.8,1,0.818,0.3,0.8,1.1,3.5,0.6,0.1,1.2,1.5,4.1,299,12.3,0.502,0.31,0.262,3,6.7,4.9,37.5,2.1,0.8,23,17.6,0.2,0.2,0.4,0.058,-2.1,-2.9,-5,-0.2
153,Markelle Fultz,PG,21,ORL,36,31,26.5,4.7,10.2,0.459,0.5,1.9,0.254,4.2,8.3,0.505,0.482,1.6,2.2,0.744,0.4,2.6,3,4.4,1.3,0.2,1.9,2,11.4,955,13.9,0.513,0.183,0.213,1.5,10.5,5.9,27.1,2.3,0.7,14.7,21.4,0.1,1.2,1.3,0.066,-1.7,-0.1,-1.7,0.1
154,Wenyen Gabriel,PF,22,SAC,10,0,5.9,0.5,1.6,0.313,0.1,0.8,0.125,0.4,0.8,0.5,0.344,0.5,0.9,0.556,0.4,0.6,1,0.3,0.3,0.2,0.5,0.7,1.6,59,5.9,0.401,0.5,0.563,7.5,11.9,9.6,7,2.5,3.2,20,18.4,-0.1,0.1,-0.1,-0.053,-6,0.6,-5.3,0
155,Daniel Gafford,C,21,CHI,27,0,12,2,3,0.688,0,0,,2,3,0.688,0.688,0.6,1.1,0.5,1.1,1.1,2.2,0.4,0.1,1.3,0.4,1.7,4.6,323,18.3,0.671,0,0.375,9.1,10.6,9.9,4.9,0.6,10.5,9.7,13.5,0.7,0.5,1.2,0.181,-1.5,4.5,3,0.4
156,Danilo Gallinari,PF,31,OKC,31,31,30.4,5.6,13.2,0.423,2.9,7.3,0.392,2.7,5.9,0.462,0.532,3.9,4.4,0.891,0.6,5,5.6,2.2,0.7,0.1,1.4,1.3,18,941,18.5,0.593,0.555,0.335,2.1,17.6,10.1,11.4,1.1,0.4,8.2,24,2,0.9,3,0.152,2.7,-1.7,1.1,0.7
157,Langston Galloway,SG,28,DET,38,6,25.7,3.6,8.2,0.433,2.1,5.2,0.402,1.4,3,0.487,0.561,1.5,1.7,0.877,0.4,1.8,2.2,1.4,0.7,0.2,0.7,1.3,10.7,975,13,0.597,0.638,0.208,1.8,7.7,4.8,8.1,1.3,0.7,6.8,16.2,1.6,0.3,1.9,0.093,1.6,-2,-0.4,0.4
158,Darius Garland,PG,20,CLE,37,37,29.1,4.4,11,0.399,1.8,5,0.37,2.5,6,0.423,0.483,1.2,1.4,0.86,0.5,1.6,2.1,3.2,0.7,0,2.5,1.5,11.8,1076,8.7,0.508,0.453,0.123,1.7,6,3.9,16.4,1.2,0,17.7,20.7,-0.7,-0.1,-0.8,-0.035,-2.1,-3.1,-5.1,-0.9
159,Marc Gasol,C,35,TOR,27,27,28.2,2.3,6.4,0.364,1.1,3.3,0.352,1.2,3.1,0.376,0.454,0.8,1,0.75,0.9,5.8,6.6,3.4,0.8,1.1,1.2,3.1,6.6,762,10.2,0.48,0.509,0.162,3.2,20.8,12.2,16.5,1.4,3.7,15.1,12.2,0.2,1.4,1.6,0.103,-2.2,4.2,1.9,0.8
160,Rudy Gay,PF,33,SAS,35,5,22.6,4,8.6,0.464,1.1,3.2,0.339,2.9,5.4,0.537,0.526,1.9,2.2,0.857,1,4.9,5.9,1.8,0.5,0.6,1.5,1.4,11,792,16.4,0.572,0.371,0.255,4.8,22.7,13.9,11.5,1,2.4,13.4,21,0.8,0.7,1.5,0.089,-0.3,-0.2,-0.5,0.3
161,Paul George,SF,29,LAC,26,26,30.7,7.6,17.8,0.429,3.6,9.2,0.395,4,8.6,0.464,0.53,4.6,5.1,0.909,0.5,5.5,6,3.7,1.5,0.5,3.3,2.5,23.5,799,21,0.586,0.515,0.286,1.6,18.1,10,19.7,2.2,1.3,14,31,1.3,1.2,2.5,0.151,3.3,0.5,3.8,1.2
162,Taj Gibson,C,34,NYK,34,28,16,2,4.2,0.486,0.1,0.3,0.2,2,3.9,0.508,0.493,0.4,0.6,0.6,1.8,2.6,4.4,1.1,0.6,0.4,0.8,2.2,4.5,543,12.3,0.504,0.07,0.141,11.2,17.7,14.3,9.8,1.8,2.1,15.7,13.9,0.3,0.4,0.7,0.062,-2.3,1.2,-1.2,0.1
163,Harry Giles,PF,21,SAC,13,1,11,2.1,4.7,0.443,0,0,,2.1,4.7,0.443,0.443,0.7,0.8,0.9,0.8,1.8,2.7,1.2,0.7,0.3,1.2,2.5,4.8,143,11.9,0.482,0,0.164,8.5,19.6,13.9,16.9,3.1,2.6,19.7,24.8,-0.2,0.2,0,0.011,-5.2,2,-3.2,0
164,Shai Gilgeous-Alexander,SG,21,OKC,37,37,35.5,7.3,15.7,0.462,1.2,3.6,0.338,6.1,12.1,0.499,0.501,4.1,5,0.806,0.7,4.6,5.3,2.8,1.2,0.4,2,1.6,19.8,1312,17,0.552,0.229,0.32,2.3,13.9,8.2,12.9,1.7,1,10,24.8,1.4,1.4,2.8,0.101,-0.3,-0.3,-0.6,0.5
165,Rudy Gobert,C,27,UTA,34,34,34.6,5.7,8.5,0.666,0,0,,5.7,8.5,0.666,0.666,3.2,5.2,0.607,3.6,10.7,14.4,1.5,0.7,1.8,2.1,3.1,14.5,1175,20.8,0.671,0,0.614,11.9,31.8,22.3,6.6,1,4.4,16,16.3,2.9,2.4,5.3,0.215,0.3,3.8,4.2,1.8
166,Brandon Goodwin,PG,24,ATL,8,0,10.9,2,4.4,0.457,0.8,1.8,0.429,1.3,2.6,0.476,0.543,0.9,0.9,1,0.3,1.4,1.6,1.5,0.6,0.3,0.6,0.9,5.6,87,18.7,0.591,0.4,0.2,2.5,13.9,8.1,21.7,2.7,1.9,11.6,20.7,0.2,0.1,0.2,0.131,0.9,-1,-0.1,0
167,Aaron Gordon,PF,24,ORL,32,32,31.3,5,12.2,0.409,1.1,4,0.276,3.9,8.2,0.473,0.454,2.1,3.1,0.694,1.7,5.8,7.5,2.8,0.7,0.6,1.7,2,13.2,1001,13,0.487,0.326,0.252,5.6,20,12.7,14.1,1.1,1.7,11.1,21.1,-0.1,1.3,1.2,0.057,-2,0.9,-1,0.2
168,Eric Gordon,SG,31,HOU,12,3,28.6,3.9,11.8,0.331,2.5,8,0.313,1.4,3.8,0.37,0.437,1.5,2.4,0.621,0.4,1.3,1.8,1.1,0.5,0.3,1.5,2,11.8,343,5.6,0.459,0.676,0.204,1.5,4.8,3.2,5.2,0.8,0.7,10.4,20.7,-0.4,0.1,-0.3,-0.035,-3.5,-3.6,-7.2,-0.4
169,Devonte' Graham,PG,24,CHO,39,29,35.2,6,15.7,0.381,3.6,9.4,0.389,2.3,6.3,0.368,0.497,3.5,4.2,0.824,0.9,2.9,3.8,7.8,0.8,0.3,3,1.9,19.1,1372,17.1,0.543,0.596,0.27,2.6,9.5,5.9,36.5,1.2,0.8,14.6,25.4,2.2,0.3,2.5,0.088,3.6,-3,0.6,0.9
170,Treveon Graham,SG,26,MIN,29,20,21.1,2,5.6,0.35,0.6,2.7,0.231,1.3,2.9,0.459,0.405,0.9,1.2,0.714,1,2.2,3.2,0.9,0.6,0.1,0.6,2.1,5.4,612,6.3,0.44,0.479,0.215,4.6,11.2,7.8,5.9,1.2,0.3,8.2,13.1,-0.2,0.4,0.2,0.016,-3.6,-0.9,-4.5,-0.4
171,Jerami Grant,PF,25,DEN,36,3,23,3.5,7.5,0.463,1.2,3.1,0.389,2.3,4.4,0.516,0.544,1.6,2.3,0.675,0.5,2.6,3.1,0.9,0.4,0.6,0.8,1.8,9.7,829,12.2,0.571,0.419,0.307,2.2,12.7,7.4,5.3,0.9,2.4,8.9,17.5,0.8,0.8,1.6,0.092,-1.2,-0.6,-1.8,0
172,Josh Gray,PG,26,NOP,2,0,11.5,0.5,1,0.5,0,0,,0.5,1,0.5,0.5,0,0,,0.5,0.5,1,1,0,0,2.5,0.5,1,23,-5,0.5,0,0,4.4,4.7,4.6,10.7,0,0,71.4,12.6,-0.1,0,-0.1,-0.238,-11.6,-2,-13.6,-0.1
173,Danny Green,SG,32,LAL,37,37,25.4,3.1,7.2,0.434,2,5.1,0.389,1.1,2.1,0.545,0.573,0.6,0.8,0.75,0.7,2.9,3.7,1.4,1.1,0.4,0.9,2.2,8.8,940,11.9,0.585,0.712,0.105,3.3,12.4,8,7,2.1,1.5,10.6,14.1,0.9,1.4,2.4,0.12,0.8,1,1.8,0.9
174,Draymond Green,PF,29,GSW,27,27,29,3.2,8,0.401,0.8,2.9,0.278,2.4,5.1,0.471,0.452,1.7,2.3,0.746,0.6,5.7,6.3,5.6,1.5,0.7,2.3,2.5,9,784,13.1,0.496,0.364,0.29,2.1,21.7,11.7,28.7,2.4,2.1,20.2,16.7,-0.1,0.9,0.8,0.05,-2.4,1.8,-0.6,0.3
175,JaMychal Green,PF,29,LAC,29,0,21.2,2.4,5.9,0.412,1.5,4,0.376,0.9,1.8,0.491,0.541,0.7,0.9,0.84,1.4,4.9,6.4,0.8,0.5,0.3,0.9,2.5,7.1,615,11.6,0.566,0.688,0.147,7.2,23.6,15.5,5,1.1,1.4,13,13.9,0.6,0.9,1.5,0.117,-0.5,0.6,0.1,0.3
176,Javonte Green,SF,26,BOS,27,0,7.7,1.2,2.2,0.559,0.1,0.5,0.214,1.1,1.7,0.667,0.585,0.2,0.3,0.667,0.3,1.1,1.4,0.3,0.3,0.1,0.4,0.7,2.8,209,12.3,0.596,0.237,0.153,4.1,14.7,9.4,5.6,1.6,1.8,13.7,14.9,0.2,0.3,0.5,0.11,-2.5,0.4,-2.1,0
177,Jeff Green,PF,33,UTA,30,2,18.4,2.5,6.5,0.385,1.1,3.5,0.327,1.4,3,0.451,0.472,1.6,2.1,0.778,0.5,2.2,2.7,0.7,0.4,0.3,0.9,1.5,7.8,553,10.3,0.523,0.533,0.323,2.8,12.4,7.8,5.3,1,1.5,10.8,19.8,0,0.7,0.7,0.058,-2.1,-0.9,-3,-0.1
178,Blake Griffin,PF,30,DET,18,18,28.4,4.9,13.9,0.352,1.5,6.2,0.243,3.4,7.7,0.439,0.406,4.2,5.4,0.776,0.9,3.7,4.7,3.3,0.4,0.4,2.2,1.5,15.5,512,12.1,0.476,0.444,0.392,3.7,14.6,9.2,17.7,0.7,1.1,12,28.1,-0.3,0.2,-0.1,-0.008,-1.9,-2.4,-4.4,-0.3
179,Marko Guduric,SG,24,MEM,27,0,14.3,1.7,4.7,0.37,0.7,2.4,0.281,1.1,2.3,0.46,0.441,0.6,0.6,0.882,0.4,1.6,2,1.4,0.3,0.2,1,0.9,4.7,385,7.5,0.472,0.504,0.134,3.3,11.6,7.5,12.6,1.1,1.3,17.2,17.6,-0.4,0.1,-0.2,-0.028,-3.6,-1.6,-5.2,-0.3
180,Rui Hachimura,PF,21,WAS,25,25,29.2,5.8,12.1,0.482,0.4,1.9,0.208,5.4,10.2,0.533,0.498,1.8,2.2,0.852,1.6,4.2,5.8,1.6,0.7,0.1,0.8,2.3,13.9,729,14.3,0.533,0.158,0.178,5.6,16.5,10.8,8,1.2,0.4,5.8,19.7,0.9,0,0.9,0.059,-0.9,-2.4,-3.3,-0.2
181,Devon Hall,SG,24,OKC,5,0,4,0.2,1,0.2,0,0.4,0,0.2,0.6,0.333,0.2,0.6,0.8,0.75,0,0.2,0.2,0.6,0,0,0.2,0.2,1,20,3.8,0.37,0.4,0.8,0,5.4,2.7,19.6,0,0,12.9,17.1,0,0,0,-0.058,-6.8,-4.8,-11.6,0
182,Tim Hardaway,SG,27,DAL,33,20,25.4,4.8,11.3,0.424,2.6,6.7,0.389,2.2,4.6,0.474,0.539,1.6,1.9,0.813,0.3,2.3,2.6,1.7,0.6,0.1,0.9,1.6,13.8,838,14.6,0.566,0.592,0.172,1.4,9.1,5.3,10,1.2,0.3,6.7,21.9,1.3,0.5,1.8,0.104,1.6,-2.8,-1.2,0.2
183,James Harden,SG,30,HOU,34,34,37.6,11.3,24.3,0.463,5.2,13.5,0.386,6.1,10.9,0.558,0.57,10.6,12.3,0.864,1,5,6,7.6,1.8,0.8,4.7,3.3,38.4,1280,32.4,0.645,0.554,0.507,2.8,13.6,8.2,35.9,2.2,1.9,13.6,37.5,6.8,1.4,8.3,0.311,11.6,-0.3,11.3,4.3
184,Maurice Harkless,SF,26,LAC,38,27,23,2.3,4.4,0.509,0.5,1.5,0.339,1.8,3,0.593,0.565,0.5,0.9,0.556,1,2.9,3.9,1.1,1.1,0.7,0.9,2.5,5.6,874,10.1,0.571,0.331,0.213,4.6,12.6,8.7,6.1,2.2,2.7,15.5,10.3,0.5,1.3,1.8,0.099,-1.2,3.4,2.2,0.9
185,Jared Harper,PG,22,PHO,1,0,2,0,1,0,0,1,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,2,-19.5,0,1,0,0,0,0,0,0,0,0,21.1,0,0,0,-0.527,-16.3,-7.4,-23.6,0
186,Montrezl Harrell,C,26,LAC,37,2,29.1,7.9,13.8,0.573,0,0.4,0,7.9,13.4,0.588,0.573,3.6,5.5,0.657,2.9,4.4,7.3,1.9,0.7,1.1,1.9,2.3,19.4,1078,23.1,0.599,0.025,0.4,10.5,15.3,13,10.8,1.1,3.3,10.6,25.5,2.8,1.4,4.2,0.188,1.5,1.2,2.7,1.3
187,Gary Harris,SG,25,DEN,34,34,33.1,4.2,9.9,0.424,1.4,4.3,0.324,2.8,5.6,0.5,0.494,1.3,1.6,0.83,0.6,2.3,2.9,2.2,1.4,0.3,1.1,2.4,11,1124,10.1,0.523,0.433,0.158,1.8,7.7,4.7,9.2,2,0.7,9.1,15.1,0.5,1.1,1.7,0.072,-0.8,0.2,-0.6,0.4
188,Joe Harris,SF,28,BRK,36,36,32,5.4,11.6,0.465,2.6,6.3,0.418,2.8,5.4,0.521,0.578,1.1,1.3,0.792,0.9,3.2,4.1,2.2,0.7,0.3,1.4,2.4,14.5,1152,13.1,0.593,0.537,0.115,2.9,9.9,6.5,10.5,1,0.9,10.2,17.7,1.5,1,2.4,0.101,0.7,-0.6,0.1,0.6
189,Tobias Harris,PF,27,PHI,38,38,33.9,7.6,15.6,0.487,1.6,4.6,0.354,6,11,0.542,0.539,2.6,3.2,0.805,0.8,5.7,6.5,3,0.8,0.7,1.6,2.5,19.4,1290,17.4,0.57,0.295,0.207,2.5,18.4,10.6,14.1,1.1,1.6,8.7,23.6,2,1.7,3.7,0.136,0.6,0.1,0.7,0.9
190,Shaquille Harrison,SF,26,CHI,22,4,8,1,2.6,0.386,0.2,0.6,0.308,0.8,2,0.409,0.421,0.6,0.9,0.65,0.3,1.2,1.5,1.1,0.5,0.2,0.3,1,2.8,176,13.9,0.464,0.228,0.351,4.1,17,10.3,20.3,3,2.7,8.4,17.3,0.1,0.3,0.4,0.11,-2.8,2.4,-0.5,0.1
191,Josh Hart,SF,24,NOP,30,5,27.5,3.6,8.8,0.411,2.2,6.2,0.348,1.5,2.6,0.564,0.534,1.3,1.8,0.741,0.8,4.8,5.7,1.4,1,0.3,1.2,2.8,10.8,825,11.6,0.559,0.706,0.204,3.1,19.1,10.9,7.2,1.7,0.9,10.8,16.2,0.6,0.6,1.2,0.068,-0.2,-0.7,-0.9,0.2
192,Isaiah Hartenstein,C,21,HOU,13,1,14.7,2.3,3.4,0.682,0,0.1,0,2.3,3.3,0.698,0.682,1.2,1.6,0.714,1.5,3.2,4.8,0.8,0.4,0.5,0.9,2.4,5.8,191,17.7,0.704,0.023,0.477,10.9,22.7,16.9,8.2,1.2,3.1,18.4,14,0.5,0.2,0.7,0.186,-0.7,1.1,0.5,0.1
193,Udonis Haslem,PF,39,MIA,2,0,5.5,0.5,0.5,1,0,0,,0.5,0.5,1,1,1.5,2,0.75,0,1.5,1.5,0,0,0,0,1.5,2.5,11,16.1,0.906,0,4,0,29,15.2,0,0,0,0,10.9,0.1,0,0.1,0.297,-1.9,-5.4,-7.4,0
194,Jaxson Hayes,C,19,NOP,34,10,19.7,3,4.7,0.635,0,0.1,0.25,2.9,4.6,0.645,0.638,2,3,0.65,1.8,2.6,4.4,0.9,0.6,1.1,0.9,2.9,7.9,671,17.2,0.661,0.025,0.648,9.3,14.3,11.7,6.8,1.4,4.8,12.4,14.4,1.6,0.6,2.2,0.157,0,1.7,1.6,0.6
195,Gordon Hayward,SF,29,BOS,18,18,31.7,6.8,12.9,0.526,1.4,4.1,0.356,5.3,8.8,0.604,0.582,1.7,2,0.833,1.1,5.3,6.3,4.2,0.7,0.4,1.7,1.8,16.7,571,19.5,0.605,0.315,0.155,3.6,17.6,10.6,21.1,1.1,1.3,10.8,20.7,1.4,0.8,2.2,0.186,2.6,0.7,3.3,0.8
196,John Henson,PF,29,CLE,18,1,13.1,1.9,3.5,0.54,0.1,0.8,0.143,1.8,2.7,0.653,0.556,0.4,1,0.389,1.1,2.7,3.7,1.4,0.6,1.2,0.7,1.6,4.3,236,18.3,0.543,0.222,0.286,8.8,22.4,15.6,16.5,2.3,8,15.5,15.2,0.2,0.3,0.6,0.116,-1,5.1,4.1,0.4
197,Dewan Hernandez,C,23,TOR,4,0,2.8,0.3,1.3,0.2,0,0.3,0,0.3,1,0.25,0.2,0.5,0.5,1,0.5,1.3,1.8,0,0.3,0,0.3,1.5,1,11,4.3,0.34,0.2,0.4,19.3,46.1,33,0,4.4,0,14.5,26.7,0,0,0,0.012,-13.5,-5.7,-19.2,0
198,Juan Hernangómez,PF,24,DEN,22,0,12.1,1.1,3.2,0.357,0.5,2,0.267,0.6,1.1,0.52,0.443,0.4,0.7,0.533,0.5,1.7,2.3,0.7,0,0.1,0.5,0.7,3.2,266,6.8,0.457,0.643,0.214,4.9,15.9,10.3,7.4,0.2,1,11.5,14.1,-0.1,0.2,0.1,0.023,-3.3,-1.5,-4.8,-0.2
199,Willy Hernangómez,C,25,CHO,12,0,6,1,2.5,0.4,0.2,0.7,0.25,0.8,1.8,0.455,0.433,0.5,1.1,0.462,0.9,1.3,2.2,0.3,0.1,0.3,0.5,0.4,2.7,72,13.8,0.448,0.267,0.433,15.9,23.7,19.7,9.1,0.7,3.8,14.4,25.2,-0.1,0.1,0,-0.014,-4.8,-1.7,-6.5,-0.1
200,Tyler Herro,SG,20,MIA,35,3,28.6,4.9,11.7,0.416,2,5.4,0.378,2.8,6.3,0.448,0.502,1.6,1.9,0.846,0.3,3.9,4.3,2.1,0.7,0.1,1.9,1.3,13.3,1001,11.3,0.532,0.46,0.159,1.4,14.6,8.4,11.8,1.1,0.3,12.9,21.9,-0.1,1,0.9,0.043,-2,-1.4,-3.4,-0.4
201,Kevin Hervey,F,23,OKC,2,0,4,0,2,0,0,1.5,0,0,0.5,0,0,0,0,,0,1,1,0.5,0,0,0,0.5,0,8,-15.2,0,0.75,0,0,26.8,13.7,15.3,0,0,0,22,-0.1,0,-0.1,-0.446,-15.8,-3,-18.8,0
202,Mario Hezonja,PF,24,POR,28,4,16.5,1.6,4.1,0.388,0.4,1.4,0.308,1.2,2.8,0.429,0.44,1,1.2,0.818,0.6,3.4,4,0.9,0.6,0.1,0.8,2.3,4.6,463,8.5,0.494,0.336,0.284,3.6,20.7,12.3,6.8,1.7,0.7,13.9,13.9,0,0.4,0.4,0.04,-3.4,-0.1,-3.5,-0.2
203,Buddy Hield,SG,27,SAC,38,38,34.2,7.4,17.8,0.414,3.7,9.9,0.372,3.7,7.9,0.467,0.518,2,2.4,0.824,0.9,4.2,5.1,3.1,0.8,0.3,2.6,2.6,20.4,1298,14.8,0.541,0.556,0.135,3,14.4,8.5,15.2,1.2,0.9,12.3,27.4,0.5,0.9,1.4,0.051,1.1,-1.9,-0.8,0.4
204,George Hill,PG,33,MIL,36,0,21.5,3.7,6.7,0.55,1.6,3.1,0.518,2.1,3.6,0.577,0.669,1.3,1.5,0.818,1,2.2,3.3,3,0.7,0.1,0.9,1.4,10.2,774,19.4,0.693,0.458,0.229,5,9.7,7.5,19.1,1.5,0.5,10.8,15.8,2.7,1.1,3.9,0.24,4.2,-0.2,4,1.2
205,Solomon Hill,SF,28,MEM,36,2,19.4,2.1,5.2,0.403,1.2,3.2,0.377,0.9,2,0.444,0.519,0.5,0.7,0.731,0.6,2.7,3.3,1.9,0.8,0.1,0.8,1.5,5.9,698,10.6,0.537,0.613,0.14,3.2,14.6,8.9,12.9,1.9,0.6,13.2,13.6,0.4,0.4,0.8,0.057,-0.6,-0.3,-1,0.2
206,Jaylen Hoard,SF,20,POR,7,0,3,0.4,0.9,0.5,0,0,,0.4,0.9,0.5,0.5,0.1,0.3,0.5,0.6,0.6,1.1,0.3,0.1,0,0.1,0.1,1,21,19.2,0.509,0,0.333,19.8,19.2,19.5,13.4,2.3,0,12.7,15.9,0,0,0.1,0.147,0.6,0,0.6,0
207,Aaron Holiday,PG,23,IND,35,17,23.7,3.9,9.4,0.415,1.6,3.9,0.415,2.3,5.5,0.415,0.5,1.2,1.3,0.872,0.4,2.1,2.5,3.5,0.9,0.2,1.4,2,10.5,829,13.5,0.529,0.412,0.143,2,9.7,5.9,21.3,1.8,0.6,12.3,20.9,0.6,0.9,1.5,0.084,0.1,-0.8,-0.7,0.3
208,Jrue Holiday,SG,29,NOP,34,34,35.6,7.8,17.9,0.438,2,5.8,0.342,5.9,12.1,0.483,0.493,2,2.8,0.708,1.3,3.5,4.9,6.5,1.7,0.7,3.1,2.1,19.6,1212,16.7,0.513,0.322,0.158,3.8,10.8,7.2,28.6,2.2,1.8,13.9,25.8,0.7,0.8,1.5,0.059,0.8,-0.2,0.6,0.8
209,Justin Holiday,SG,30,IND,37,2,25,2.7,6.6,0.407,1.6,4.2,0.389,1,2.3,0.442,0.533,0.7,0.8,0.839,0.4,3,3.4,1.4,1.1,0.5,0.6,1.7,7.7,926,11.4,0.555,0.646,0.128,1.9,13,7.5,7.5,2.1,1.9,7.6,13.1,0.7,1.3,2,0.104,0.1,1.6,1.7,0.9
